X,Y,objectid,data_year,portfolio_manager_id,philadelphia_building_id,street_address,property_name,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_sour_eui_kbtuft2,total_ghg_emissions_mtco2e,water_use_all_kgal,district_chilled_water,water_score,estar_certified,compliance_type,benchmarking_status,x_coord,y_coord
-75.1652975911902,39.9434008412037,11,2022,2887841,771501000,601 S BROAD ST,Arts Bank,19147,1,1994,College/University,25006,981564.2,65429.8,0,0,0,41.9,112.7,43.5,522.9,89,230.3,0, ,No,Voluntary Compliance,Voluntarily Complied,-75.16529244,39.94338624
-75.1910123550035,40.0618935954032,12,2022,3751369,775515000,7301 Germantown Ave.,Lutheran Theological Seminary of Philadelphia,19119,1,1894,College/University,259257,3970285.1,6315324,903582.6,0,0,43.2,72,44.7,169,748.4,862.2,0, ,No,Required Compliance,Complied,-75.19100713,40.06187873
-75.1692217345234,39.9527110617142,13,2022,1060573,883032000,1700 Market Street,1700 Market Street,19103,1,1973,Office,934085,37761115.8,0,0,25803389.1,78,68.1,146.4,70.3,178.6,5003.1,7619.6,0, ,Yes,Required Compliance,Complied,-75.16921654,39.95269644
-75.0567404056386,40.012358673639,14,2022,3696167,884177825,5825 Tacony St,Eastern Surplus,19135,1,1910,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",80140,296314.2,671990.9,0,0,0,12.1,19.2,12.9,170.9,61.5,239.5,0, ,No,Required Compliance,Complied,-75.05673542,40.01234351
-75.0923711325555,39.9988990582882,15,2022,3673577,882125404,2200 WHEATSHEAF LANE,"PHILADELPHIA, PA",19137,2,1908,Wholesale Club/Supercenter,92185,7489063.6,4982572.9,0,0,40,135.3,284.2,135.7,159.6,937.6,1778.9,0, ,No,Required Compliance,Complied,-75.09236604,39.99888405
-75.2337787919847,39.9824254295278,16,2022,3782267,884220500,2001 north 59th street,59th street,19131,2,1919,Non-Refrigerated Warehouse,750000,3266285.8,0,0,0,71,4.4,12.2,4.4,90.8,284.6,0,0, ,No,Required Compliance,Complied,-75.23377333,39.98241092
-75.2366946133833,40.0633595056194,17,2022,3824196,882116500,"701 E Cathedral Rd ""Henry Avenue && Cathedral Road""",Andorra Shopping Center,19128,1,1948,Strip Mall,270976,10802924.3,400300,0,0,0,41.3,113.2,41.5,116.6,962.4,1373.2,0, ,No,Required Compliance,Complied,-75.2366893,40.06334478
-75.2314676919369,39.8912667189018,18,2022,4542636,883742500,4101 Island Ave,Philadelphia PA FP,19153,1,1963,Hotel,88956,5181067.4,4540932.6,0,0,40,109.3,216.7,109.2,145.5,692.6,6369.9,0, ,No,Required Compliance,Complied,-75.23146242,39.89125236
-75.1796717431931,39.888917314619,19,2022,4471836,788008020,1620 Kitty Hawk Ave,"Urban Outfitters, Inc. - Building #017, 014",19112,1,1916,Office,48129,1510045.4,2380260.2,0,0,57,80.8,139.8,85.8,0,258,0,0, ,No,Voluntary Compliance,Voluntarily Complied,-75.17966668,39.88890289
-75.1758122213639,40.0096494466195,20,2022,3966890,882066190,2800 Fox Street,ShopRite of Fox Street,19129,10,1960,Supermarket/Grocery Store,75488,11390272.8,7451595.2,0,0,52,249.6,526.1,250.6,92.3,1388.1,1132.1,0, ,No,Required Compliance,Complied,-75.17580691,40.00963469
-75.2124051654281,40.0025552322569,21,2022,4870458,886651700,4001 Conshohocken Avenue,59900 - Park Tower: Park Tower,19131,1,1959,Multifamily Housing,173160,3605501.3,6507986,0,0,68,58.4,97.8,60.8,0,659.8,0,0, ,No,Required Compliance,Complied,-75.21239974,40.00254062
-75.187793221581,39.9831040314048,22,2022,5935853,886652700,3226 Clifford Street,Vernon House,19121,81,1997,Multifamily Housing,55985,1664824,2185277.1,0,0,28,68.8,124.2,71.1,194.1,261.1,1345.7,0, ,No,Required Compliance,Complied,-75.18778789,39.98308938
-74.9964178246834,40.1113931556254,23,2022,3958205,883095110,2180 Hornig Road,PEI-Genesis,19116,1,1956,Mixed Use Property,20000,291568.1,196408.9,0,0,0,24.4,51.1,25.3,360.1,35.8,32.1,0, ,No,Voluntary Compliance,Voluntarily Complied,-74.99641307,40.11137757
-74.9616287436913,40.0869709815619,24,2022,4457702,882693050,4301 BYBERRY RD,"PHILADELPHIA, PA",19154,1,2000,Wholesale Club/Supercenter,176191,10944054.8,3892675,0,0,65,84.2,197.1,86.4,124.8,1190.2,4390.1,0, ,No,Required Compliance,Complied,-74.96162416,40.08695547
-75.1796717431931,39.888917314619,25,2022,5018892,788008310,1620 Kitty Hawk Ave,"Urban Outfitters, Inc. - Building #18",19112,1,1916,Office,106698,7641757.5,6496470.4,0,0,28,132.5,264.5,138.2,240.9,1010.8,0,0, ,No,Required Compliance,Complied,-75.17966668,39.88890289
-75.2267065405357,39.9331945140685,26,2022,5004296,881125140,2000 S. 58TH STREET,ANN THOMAS PRESBYTERIAN APARTMENTS,19143,3,2015,Multifamily Housing,64872,1847939.2,2165680.9,0,0,61,61.9,114.8,63.5,115.3,276,1948.7,0, ,No,Required Compliance,Complied,-75.22670121,39.93318008
-75.118115973059,40.0451166015112,27,2022,30267658,882136000,6201 N FRONT ST,ADAMS RUN SHOPPING CENTER,19120-1541,1,1912,Strip Mall,93045,12334943,8692136.6,0,0,0,226,469.3,229,266.5,1570.1,7224.7,0, ,No,Required Compliance,Complied,-75.11811089,40.04510155
-75.0156630878317,40.0754496414201,28,2022,16126996,884287005,2901 Grant Ave,2901 Grant Ave,19114,1,1941,Self-Storage Facility,63960,1656971.9,426846.6,0,0,0,32.6,79.5,32.1,164.7,167,0,0, ,No,Required Compliance,Complied,-75.01565827,40.07543419
-75.1596412296416,39.9478687390627,29,2022,21642096,888093850,1101 Locust Street,Western Union Building,19107,1,2009,Multifamily Housing,185000,7408229.9,2361478.5,0,0,36,52.8,125.5,54.3,45.7,770.8,4504,0, ,No,Required Compliance,Complied,-75.15963608,39.94785411
-75.1682084989168,39.9552994193975,30,2022,21671936,881035950,100 N. 17th Street,The Arch,19103,1,2007,Multifamily Housing,126840,7257313.8,0,0,998900.5,15,65.1,169.7,65.5,143.7,698.6,4362.6,0, ,No,Required Compliance,Complied,-75.1682033,39.95528479
-75.0985809913612,40.0127229146387,31,2022,20989884,886608600,1401 E Bristol St,Carl Mackley Houses,19124,1,2011,Multifamily Housing,70650,1887182.3,6427618.2,0,0,72,117.7,170.3,125.6,122.1,505.8,6317.3,0, ,No,Required Compliance,Complied,-75.09857589,40.01270789
-75.150712482421,39.9618199258143,32,2022,19427862,881420116,711 Spring Garden Street,Guild House East,19123,3,2021,Multifamily Housing,66000,2355220.3,1637912,0,0,61,60.5,126,61.5,165.5,292.2,5933.6,0, ,No,Required Compliance,Complied,-75.15070733,39.96180523
-75.1493074804847,39.9723464909692,33,2022,15115902,886671100,1315 N. 8th St,Gloria Cazerez Residence,19122,2,1962,Multifamily Housing,35308,607622.6,370575.4,0,0,0,27.7,59.2,28.6,167.8,74.3,412.9,0, ,No,Voluntary Compliance,Voluntarily Complied,-75.1493023,39.97233176
-75.1456666306717,40.0404980891132,34,2022,20838148,886702500,1424 Clearview Street,Suffolk Manor: Suffolk Manor,19141,1,1971,Multifamily Housing,115000,3238551,8204243.1,0,0,23,99.5,153.8,105,189,717.9,7219.1,0, ,No,Required Compliance,Complied,-75.14566147,40.04048314
-75.1777736179897,40.0096478464868,35,2022,7554827,882066200,2950 ROBERTS AVE,ROBERTS AVE,19129,1,1897,Refrigerated Warehouse,72453,7902335.3,2375919,0,0,1,141.9,339.8,145.1,185.7,814.7,302.6,0, ,No,Required Compliance,Complied,-75.1777683,40.0096331
-75.2092769259069,39.9587815290154,36,2022,20839494,886761415,4445 Holden Street,West Park Apartments,19104,36,2000,Multifamily Housing,373952,4951719.6,17617238.2,0,0,0,60.4,86.5,64.4,137.6,1367.1,126095.2,0, ,No,Required Compliance,Complied,-75.20927159,39.958767
-75.1913203355087,40.0460617559544,37,2022,18968756,888220042,6655 McCallum St.,Malvern Hall Condominium Association,19119,1,1895,Multifamily Housing,55855,1823337,1210529.3,0,0,39,54.3,114.2,55.6,173.8,223.1,1766.6,0, ,No,Required Compliance,Complied,-75.19131507,40.04604694
-75.210428297046,40.0736387932303,38,2022,17792850,881050500,201 West Evergreen Avenue,Hill House Apartments,19118,1,2020,Multifamily Housing,216200,4233657.4,7865418.9,0,0,89,56,93,60.4,233.5,786.6,5763.8,0, ,No,Required Compliance,Complied,-75.21042306,40.07362396
-75.1955365789343,39.9320263007094,39,2022,20839104,886760955,3001 Moore Street,Pratt Building: Pratt Building,19145,1,2003,Multifamily Housing,78000,2002240.1,2105747.2,0,0,39,52.7,100.2,53.8,152.4,286.3,3568.4,0, ,No,Required Compliance,Complied,-75.19553135,39.9320118
-75.2182035016962,40.004368672441,40,2022,20965467,883753000,4200 City Ave,Hilton/Homewood,19131,1,1968,Hotel,258000,11665269.7,4444288.3,0,0,79,62.4,144.7,63.2,211.1,1252.4,6996.5,0, ,No,Required Compliance,Complied,-75.21819806,40.00435408
-75.1781904192519,39.9589286938098,41,2022,20660543,881555000,2323 Race Street,Edgewater,19103,3,1964,Multifamily Housing,303168,12570920.3,119513.8,0,0,70,41.9,116.5,41.9,170.9,1101.6,8491.8,0, ,No,Required Compliance,Complied,-75.17818518,39.95891408
-75.1464083712762,39.9461108657541,42,2022,23307135,888051584,285 St. James Place,Joseph Trout,19106,2,1960,Multifamily Housing,266220,19097434.9,38982708.9,0,0,1,218.2,354.6,227.2,102.2,3734.4,28956.5,0, ,No,Required Compliance,Complied,-75.14640327,39.94609621
-75.1599030716351,39.9536727076779,43,2022,20965469,883705215,1200 Arch St,Home2 Suites,19107,1,2000,Hotel,159000,6138832.9,2477783,0,0,67,54.2,124.5,54.5,214.6,666.4,5817.6,0, ,No,Required Compliance,Complied,-75.15989791,39.95365806
-75.1637046978302,39.9442289081931,44,2022,20825770,881008215,1300 Lombard Street,Casa Farnese: Casa Farnese,19147,0,2009,Multifamily Housing,176744,3347768.8,6327429.3,0,0,96,54.7,90.6,57.2,178.7,627.7,8877.7,0, ,No,Required Compliance,Complied,-75.16369955,39.9442143
-75.2332085418575,39.9217082402235,45,2022,3783055,783130800,6601 ELMWOOD AVE,Tilden,19142,1,1980,K-12 School,181273,269552.8,459746,0,0,0,4,6.8,4,99.6,47.9,2684.3,0, ,No,Required Compliance,Complied,-75.23320321,39.92169384
-75.1958512473563,39.951241041884,46,2022,17710730,773542000,3601 Spruce Street,3601 Spruce Street,19104,1,1894,Laboratory,255000,40166814.6,10260,0,31035772.7,0,279.3,587.5,0,270.4,5560.7,0,0, ,No,Required Compliance,Complied,-75.19584597,39.95122649
-75.0306165904083,40.0471327386768,47,2022,16905021, ,8040 Rowland Ave,Downing Park Terrace LLC,19136,1,1964,Multifamily Housing,172200,3194775,8099340,0,0,58,65.6,101.3,68,108,708.5,10,0, ,No,Required Compliance,Complied,-75.03061171,40.0471174
-75.1512838359487,40.0395822816015,48,2022,13055762,881074500,5600 Ogontz Ave,5600 Ogontz Ave,19141,1,1941,Multifamily Housing,201130,2573345.8,12414265.7,0,0,63,74.5,100.6,79.6,126.7,883.6,0,0, ,No,Required Compliance,Complied,-75.15127866,40.03956736
-75.1694537344779,39.959384553715,49,2022,4830325,782598000,1801 Vine St,Family Court-CLOSED,19103,1,1941,Municipal,250000,530537,0,0,10970914,91,46,58.7,50.5,114.6,774.7,550.2,0, ,No,Required Compliance,Complied,-75.16943847,39.95962167
-75.1942740886895,39.9585323905287,50,2022,9867017,881111200,3600 Lancaster Ave,Link University City,19104,5,2019,Multifamily Housing,146403,4782453.7,0,0,0,93,32.7,91.5,33.7,60.9,416.7,6280.4,0, ,No,Required Compliance,Complied,-75.1942688,39.95851782
-75.096938895719,40.046014597333,51,2022,3668944,778030510,6129 Palmetto St,Kindred Hospital Philadelphia,19111,1,2000,Other,39600,5477539.5,6888506.5,0,0,0,312.3,570,319.2,127.6,843.1,1247.6,0, ,No,Voluntary Compliance,Voluntarily Complied,-75.19981474,39.94763469
-74.989254592536,40.0884393649271,52,2022,3690153,884282000,10905 Dutton Rd,Flynn & OHara Uniforms,19154,2,1983,Distribution Center,58000,621226.3,1568452.7,0,0,75,37.8,58.4,40.2,78.3,139.1,241.5,0, ,No,Required Compliance,Complied,-74.98924987,40.08842384
-75.1711559073325,39.9529509169132,53,2022,29230,883033001,1818 Market St Suite 1120,1818 Market St,19103,1,1953,Office,999714,36520683.2,0,0,26143756.3,78,62.7,133.7,64.8,126.1,4917.7,8238.3,0, ,Yes,Required Compliance,Complied,-75.17115071,39.9529363
-75.170427325968,39.9550077386344,54,2022,15658881,883700200,1800 Arch Street,Comcast Technology Center,19103,1,2018,Office,1818441,101608950.6,6624303.5,0,45513762.2,75,84.5,190.4,86,468.6,12226.3,30756,0, ,Yes,Required Compliance,Complied,-75.17042213,39.95499312
-75.199179565507,39.9572317328861,55,2022,5063279,774001000,3817 MARKET STREET,Ralston Mercy Douglass,19104,1,1969,Multifamily Housing,56784,2523197.9,3044244.6,0,0,3,98,180.7,96.7,117,381.5,2147.7,0, ,No,Required Compliance,Complied,-75.19917426,39.95721718
-75.165190255922,39.9480041179952,56,2022,3892261,772727000,240 S BROAD ST,Academy of Music,19102,1,1857,Performing Arts,144080,7714351.2,8404.9,0,6296728.3,0,97.3,202.6,100,533.6,1090.6,3969.7,0, ,No,Required Compliance,Complied,-75.16518509,39.9479895
-75.1710311012199,39.9506976909451,57,2022,4961098,888095900,130 S 18TH ST,10 Rittenhouse Square,19103,1,2009,Multifamily Housing,480715,16074924.9,3000500,0,10450055.9,20,67,137.8,68.3,506.8,2253.7,12164.1,0, ,No,Required Compliance,Complied,-75.17102591,39.95068308
-75.1903329300343,39.95651428782,58,2022,3762536,774530510,3301 MARKET ST,"14,14A-Daskalakis Athletic Center / Recreation Center",19104,2,1976,Other - Recreation,267003,14504026.4,5541993.8,0,8553095.9,0,107.1,212.4,108.8,575.6,2165.7,8787.1,0, ,No,Required Compliance,Complied,-75.19032766,39.95649971
-75.1529952681932,39.9822897975281,59,2022,4426032,777568800,1935 N 12TH ST,Science Education and Research Center (SERC),19122,1,2014,College/University,255183,20995346.2,18250,0,36504089.9,0,351.7,517.4,347,225.6,5951.9,492.8,32218301.4, ,No,Required Compliance,Complied,-75.15261312,39.98150887
-75.1575035105594,39.9774844747662,60,2022,4426304,777502000,1601 N BROAD ST,Morgan Hall,19122,1,2000,Residence Hall/Dormitory,679622,21544313.1,409113,0,21902055,43,98.8,157.2,98.7,182,4697.8,23244.7,25517954, ,No,Required Compliance,Complied,-75.15749829,39.97746975
-75.1709536153593,39.9599447198358,61,2022,4830371,782598210,1901 VINE ST,Central Library,19103,1,1922,Municipal,200680,17628231.1,400099,0,6951575.9,0,124.5,289.7,126.8,194.6,2018.6,4875.9,0, ,No,Required Compliance,Complied,-75.1709484,39.95993009
-75.1669580449742,39.9560539262375,62,2022,4155239,883060510,3 BENJ FRANKLIN PKY,Three Parkway,19102,1,1970,Office,610065,19677594.3,0,0,9864063.5,0,48.4,109.8,49.4,244.9,2369.3,4785.7,0, ,Yes,Required Compliance,Complied,-75.16695285,39.95603929
-75.1603206416256,39.9514268502188,63,2022,1946616,883705320,1200 MARKET ST,Loews Philadelphia Hotel,19107,1,1932,Hotel,650000,30203989.6,3283067.8,0,18454941.2,71,79.9,169.6,81.4,114,4031.2,17944.2,0, ,No,Required Compliance,Complied,-75.16031548,39.95141221
-75.1864649238006,39.9540753218391,64,2022,3862659,774516000,3101 CHESTNUT ST,"1,2,3,4-Main,Randell,Curtis,Alumni",19104,4,1891,College/University,330200,26168013.3,1644.5,0,13875254.3,0,121.3,272.5,122.4,126.2,3272.9,15341.5,0, ,No,Required Compliance,Complied,-75.18645967,39.95406074
-75.1884733274118,39.9547013365112,65,2022,3856018,774518010,3201 CHESTNUT ST,"5,6,12,53,58,61-Quad Buildings",19104,6,1898,College/University,596958,39628230.4,736031.7,0,35852069.2,0,127.7,259.4,130,389.1,5980.7,14265.7,0, ,No,Required Compliance,Complied,-75.18846807,39.95468676
-75.1938520170099,39.9487941316675,66,2022,1328441,"773000800, 773001000, 773003070,  773001500,
883209520,883081725,773740500, 773740200, 773513200, 773003030, 773003050",3401 CIVIC CENTER BLV,The Children's Hospital fo Philadelphia,19104,9,1974,Other - Specialty Hospital,6353396,629727591.2,572347911.2,1894464.2,277,0,175.7,345.2,176.9,152.5,85403.9,303154,0, ,No,Required Compliance,Complied,-75.19384675,39.94877958
-75.1764187966915,39.9531954615488,67,2022,3970936,772525500,19 S 22ND ST,College of Physicians,19103,1,1909,Museum,68967,3029195.4,0,0,3549998.1,0,95.4,184.9,97.2,402.9,499.6,1653.1,0, ,No,Required Compliance,Complied,-75.17641358,39.95318086
-75.1992587677488,39.9585057816836,68,2022,2867268,774002001,3800 POWELTON AVE,Penn Presbyterian Medical Center,19104,10,1922,Hospital (General Medical & Surgical),1027882,87906802.1,94647414.9,0,14935341.8,78,192.1,353.6,0,174.1,13677.5,16935.8,0, ,No,Required Compliance,Complied,-75.19925346,39.95849122
-75.194097675448,39.9500281734869,69,2022,2848103,773009000,3400 SPRUCE ST,Hospital of the University of Pennsylvania,19104,9,1913,Hospital (General Medical & Surgical),1791804,255104765.2,1346235.9,0,258799452.9,12,287.6,573.2,0,271,39480.6,162898.7,0, ,No,Required Compliance,Complied,-75.19409241,39.95001362
-75.186392888363,39.9521262092826,70,2022,3634188, ,3101 Walnut St,University of Pennsylvania,19104,180,1873,College/University,13000000,974127023.6,20101418,0,1610361855,0,200.4,360.5,198.3,217.9,192861.2,730268.5,0, ,No,Required Compliance,Complied,-75.19528643,39.94883388
-75.1537972589714,39.9835612436903,71,2022,3963378,777570600,2001 N. 13TH,PRESSER,19122,1,2000,College/University,54792,1995761.4,0,0,7716236.4,0,153.7,220,158.4,138.5,784.6,934.5,1866472.4, ,No,Required Compliance,Complied,-75.15379203,39.98354649
-75.1561075491943,39.9808780557009,72,2022,3983897,777509000,1810 Liacouras Walk,1810 LIACOURAS WALK,19122,1,2000,College/University,74630,1994907,0,0,2245484,0,84.8,119.9,83.3,150.2,562.1,1165.8,4539030.2, ,No,Required Compliance,Complied,-75.15620977,39.9807969
-75.1904646151148,39.9599669267234,73,2022,3762540,"881822860 ; 774566000",229 N 34TH ST,17-Van Rensselaer,19104,1,1931,Residence Hall/Dormitory,80202,3882508,0,0,3714607.1,33,99.2,200.3,102.2,412.4,595.5,3167,0, ,No,Required Compliance,Complied,-75.19045934,39.95995234
-75.1635913047673,39.9549845082941,74,2022,3876067,883023400,112 N BROAD ST,centralized comprehensive human services,19102,1,1896,Medical Office,106218,3553325,0,0,3468387.7,89,66.1,133,68.3,398.7,539.9,1331,0, ,No,Required Compliance,Complied,-75.16358613,39.95496987
-75.1560886803039,39.9807972881404,75,2022,3983809,777509000,1801 Liacouras Walk,Alter Hall,19122,1,2000,College/University,217526,6827197,0,0,9381246.4,0,115.9,173.2,115.8,120.1,1774.4,3963.4,10563253.7, ,No,Required Compliance,Complied,-75.15620977,39.9807969
-75.158363834425,39.9477551914043,76,2022,3643275,771016000,1001 LOCUST ST,Hamilton Building,19107,1,2007,Office,145375,8034976.8,0,0,6115347.3,66,97.3,205.4,97.4,125,1106.1,6313.1,0, ,No,Required Compliance,Complied,-75.15835869,39.94774056
-75.1659179665932,39.9508504137811,77,2022,4449356,888114920,1500 CHESTNUT ST,Ellington Condominium,19102,1,1929,Multifamily Housing,100000,6807448.4,0,0,16678985.9,0,234.9,391.3,218.7,403,1719.2,11531.1,0, ,No,Required Compliance,Complied,-75.16591279,39.95083579
-75.1712922215445,39.9568472968304,78,2022,3789969,772734500,1900 RACE ST,Academy of Natural Sciences of Drexel University,19103,1,1876,Museum,250000,11431646.7,0,0,5287987.2,0,66.9,153.5,67.6,60.2,1347.1,24,0, ,No,Required Compliance,Complied,-75.17128702,39.95683267
-75.1538079659342,39.947725818637,79,2022,5023248,881567905,200 W WASHINGTON SQ,The St. James,19106,1,2003,Multifamily Housing,415790,20567822.6,0,0,9716,30,49.5,138.5,49.5,8.4,1792.6,16842.8,0, ,No,Required Compliance,Complied,-75.15380284,39.94771117
-75.165835135547,39.9479426543682,80,2022,4979554,772732000,1420 LOCUST ST,"(PA3537)	Academy House COA",19102,1,1977,Multifamily Housing,739800,25037286.7,8604936.8,0,0,72,40.5,95.2,41.3,129.6,2638.3,20647.7,0, ,No,Required Compliance,Complied,-75.16582997,39.94792804
-75.1687287360043,39.9535559878579,81,2022,3715845,883053530,1701 MARKET ST,1701 Market Street,19103,1,1957,Office,305170,47746026.7,0,0,5791354.3,2,175.4,460.9,176.9,257.2,4544.3,6174.1,0, ,No,Required Compliance,Complied,-75.16872354,39.95354136
-75.1710685115121,39.9537167920649,82,2022,19331,883104005,1835 MARKET ST,1835 Market Street,19103,1,1986,Office,686503,30212273.9,0,0,47254208.8,54,112.8,206,118,93,5769.8,8971.2,0, ,No,Required Compliance,Complied,-75.17106331,39.95370218
-75.167273053211,39.9535788940959,83,2022,1650661,883056000,1600 JOHN F KENNEDY BLV,Four Penn Center,19103,1,1964,Office,543134,23800593.7,0,0,17452540.1,76,74.7,158.8,76.5,142.6,11571.6,6634.7,0, ,Yes,Required Compliance,Complied,-75.16726787,39.95356426
-75.1839277077128,39.9525727059655,84,2022,3998864,883075500,150 S 30TH ST,AFSCME DISTRICT COUNCIL 33,19104,1,1978,Office,180000,5093358.5,1582971.1,0,0,0,37.1,88.5,37.8,0,541.8,1743.5,0, ,No,Required Compliance,Complied,-75.18445045,39.95212105
-75.1741915700188,39.9513858657454,85,2022,5102376, ,2027-39 SANSOM ST,2027 sansom,19103,1,1930,Other,64768,1424639.7,0,0,0,0,22,61.6,21.3,444.4,128,315.7,0, ,No,Required Compliance,Complied,-75.17479812,39.95165126
-75.1754396452673,39.9522962132055,86,2022,6454276, ,2100-06 CHESTNUT ST,2100-06 chestnut,19103,1,1929,Mixed Use Property,30000,1424639.7,981471.7,0,0,0,80.2,167.3,81.4,0,180.2,10726.3,0, ,No,Voluntary Compliance,Voluntarily Complied,-75.17576745,39.95192523
-75.0811538717062,40.0087622865636,87,2022,3876056,884090500,4520-40 WORTH ST,Globe Development group,19124,1,1890,Other,129025,227805.6,957665.3,0,0,0,9.2,12.7,9.2,573.9,70.7,730.5,0, ,No,Required Compliance,Complied,-75.08126437,40.00909898
-75.1099092273269,40.002270112823,88,2022,6385296,884107500,1000 E VENANGO ST,U All No LLC,19134,1,1910,Other,90132,2213470.5,845830.2,0,0,0,33.9,78.6,34.8,0,237.8,844.6,0, ,No,Required Compliance,Complied,-75.11012302,40.00160487
-75.1641541279169,39.9952056279046,89,2022,21976081,776185400,2001-49 W LEHIGH AVE,Deliverance Evangelistic Church,19132,1,1992,Worship Facility,160000,4651238.4,3578494.1,0,0,0,51.4,104.9,52.7,60.6,595.3,0,0, ,No,Required Compliance,Complied,-75.16484848,39.99610682
,,90,2022,3679905,883332000,1601-05 WALNUT ST,Med Arts,19120,1,1930,Office,110000,6487559.7,2338016.4,0,0,45,80.2,187.5,81,64.2,707.2,2763,0, ,No,Required Compliance,Complied,-75.16769153,39.9500074
,,91,2022,4096299,"788007700, 788008001, 788008100",1500 KITTY HAWK AVE,"Urban Outfitters, Inc. - Building #003, 007, 012, 015, 025, 543",19103,3,1916,Office,325133,50393568.1,34126971.7,0,0,1,260,544.2,269.3,94.3,6203,0,0, ,No,Required Compliance,Complied,-75.17777223,39.88924593
-75.1520516703261,39.9509715870521,92,2022,5209375,883249500,701-39 MARKET ST,The Lits Building,19106,1,1986,Office,880000,44566281.6,6874235.3,0,0,71,59.8,153.3,59.6,277.7,4370,109817.4,0, ,No,Required Compliance,Complied,-75.15267317,39.95164006
-75.1631685476052,39.9626034434236,93,2022,3944259,883026600,1500-30 SPRING GARDEN ST,1500 Spring Garden,19130,1,1948,Office,1162417,199439008.8,41397.9,0,0,6,186.1,521.1,186.1,191.1,17377.7,5930,0, ,No,Required Compliance,Complied,-75.16404281,39.96201766
