year,geography_name,geography,sex,race_ethnicity,age_category,metric_name,metric_value,lower_bound,upper_bound,uncertainty_type,source,category,quality_flag,candida_auris_case_type,blood_lead_level,fatal_nonfatal_shootings,leading_cause_death,leading_cause_death_rank,drug_category,aqi_category,syphilis_transmission_category,smoke_type,objectid
2015-2021,Philadelphia,County,All sexes,All races/ethnicities,All adults,percent_diagnosed_hypertension,32.85425,30.92622,34.78229,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
2015-2021,Philadelphia,County,Female,Asian (NH),All adults,percent_diagnosed_hypertension,11.49623,2.99373,19.99873,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
2015-2021,Philadelphia,County,Female,Black (NH),All adults,percent_diagnosed_hypertension,44.55021,40.22342,48.877,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
2015-2021,Philadelphia,County,Female,Hispanic,All adults,percent_diagnosed_hypertension,21.69908,13.94265,29.45552,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
2015-2021,Philadelphia,County,Female,White (NH),All adults,percent_diagnosed_hypertension,26.22804,22.5197,29.93637,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
2015-2021,Philadelphia,County,Male,Asian (NH),All adults,percent_diagnosed_hypertension,3.11387,-0.86462,7.09237,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
2015-2021,Philadelphia,County,Male,Black (NH),All adults,percent_diagnosed_hypertension,45.9585,40.47761,51.43939,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
2015-2021,Philadelphia,County,Male,Hispanic,All adults,percent_diagnosed_hypertension,19.58131,10.00888,29.15375,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2015-2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,percent_diagnosed_depressive_disorder,21.61864,20.24664,22.99063,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
2015-2021,Philadelphia,County,Female,Asian (NH),All ages,percent_diagnosed_depressive_disorder,12.22018,5.91043,18.52994,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2015-2021,Philadelphia,County,Female,Black (NH),All ages,percent_diagnosed_depressive_disorder,23.1848,20.12156,26.24803,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
2015-2021,Philadelphia,County,Female,Hispanic,All ages,percent_diagnosed_depressive_disorder,29.6368,23.49543,35.77818,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
2021,Philadelphia,County,All sexes,All races/ethnicities,70-74,age_distribution,60233,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
2015-2021,Philadelphia,County,Female,White (NH),All ages,percent_diagnosed_depressive_disorder,29.32745,26.15401,32.50089,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
2015-2021,Philadelphia,County,Male,Asian (NH),All ages,percent_diagnosed_depressive_disorder,6.25186,0.00991,12.49381,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
2015-2021,Philadelphia,County,Male,White (NH),All adults,percent_diagnosed_hypertension,31.52671,27.21825,35.83518,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2015-2021,Philadelphia,County,Female,All races/ethnicities,All adults,percent_diagnosed_hypertension,32.06233,29.50047,34.62418,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
2015-2021,Philadelphia,County,Male,All races/ethnicities,All adults,percent_diagnosed_hypertension,33.76401,30.73174,36.79629,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
2015-2021,Philadelphia,County,All sexes,All races/ethnicities,18+,percent_current_smoker,19.8787,18.4205,21.3369,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
2015-2021,Philadelphia,County,Female,Asian (NH),18+,percent_current_smoker,0.81189,-0.36945,1.99323,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
2015-2021,Philadelphia,County,Female,Black (NH),18+,percent_current_smoker,19.93016,17.00078,22.85954,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
2021,Philadelphia,County,Female,All races/ethnicities,All ages,age_distribution,826804,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
2021,Philadelphia,County,Female,Asian/PI (NH),All ages,age_distribution,64033,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
2021,Philadelphia,County,Female,Black (NH),All ages,age_distribution,344548,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
2021,Philadelphia,County,Female,Hispanic,All ages,age_distribution,126329,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
2021,Philadelphia,County,Female,Multiracial (NH),All ages,age_distribution,18262,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
2021,Philadelphia,County,Female,White (NH),All ages,age_distribution,271781,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
2021,Philadelphia,County,Male,All races/ethnicities,All ages,age_distribution,749447,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
2021,Philadelphia,County,Male,Asian/PI (NH),All ages,age_distribution,58758,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
2021,Philadelphia,County,Male,Black (NH),All ages,age_distribution,289267,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
2021,Philadelphia,County,Male,Hispanic,All ages,age_distribution,124156,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
2021,Philadelphia,County,Male,Multiracial (NH),All ages,age_distribution,15811,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
2021,Philadelphia,County,Male,White (NH),All ages,age_distribution,259941,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
2021,Philadelphia,County,All sexes,All races/ethnicities,0-4,age_distribution,96255,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
2021,Philadelphia,County,All sexes,All races/ethnicities,5-9,age_distribution,97114,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
2021,Philadelphia,County,All sexes,All races/ethnicities,10-14,age_distribution,93729,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
2021,Philadelphia,County,All sexes,All races/ethnicities,15-19,age_distribution,95676,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
2021,Philadelphia,County,All sexes,All races/ethnicities,20-24,age_distribution,103293,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
2021,Philadelphia,County,All sexes,All races/ethnicities,25-29,age_distribution,143023,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
2021,Philadelphia,County,All sexes,All races/ethnicities,30-34,age_distribution,152818,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
2021,Philadelphia,County,All sexes,All races/ethnicities,35-39,age_distribution,116862,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
2021,Philadelphia,County,All sexes,All races/ethnicities,40-44,age_distribution,95723,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
2021,Philadelphia,County,All sexes,All races/ethnicities,45-49,age_distribution,82640,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
2021,Philadelphia,County,All sexes,All races/ethnicities,50-54,age_distribution,89195,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
2021,Philadelphia,County,All sexes,All races/ethnicities,55-59,age_distribution,91639,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
2021,Philadelphia,County,All sexes,All races/ethnicities,60-64,age_distribution,90917,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
2021,Philadelphia,County,All sexes,All races/ethnicities,65-69,age_distribution,76964,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
2021,Philadelphia,County,All sexes,All races/ethnicities,75-79,age_distribution,38225,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
2021,Philadelphia,County,All sexes,All races/ethnicities,80-84,age_distribution,25097,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
2021,Philadelphia,County,All sexes,All races/ethnicities,85+,age_distribution,26848,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
2021,Philadelphia,County,All sexes,Asian/PI (NH),0-4,age_distribution,6558,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
2021,Philadelphia,County,All sexes,Asian/PI (NH),5-9,age_distribution,6549,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
2021,Philadelphia,County,All sexes,Asian/PI (NH),10-14,age_distribution,6067,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
2021,Philadelphia,County,All sexes,Asian/PI (NH),15-19,age_distribution,7457,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
2021,Philadelphia,County,All sexes,Asian/PI (NH),20-24,age_distribution,9134,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
2015-2021,Philadelphia,County,Female,Hispanic,18+,percent_current_smoker,19.70085,13.60544,25.79627,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
2015-2021,Philadelphia,County,Female,White (NH),18+,percent_current_smoker,17.76036,14.88927,20.63145,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
2015-2021,Philadelphia,County,Male,Asian (NH),18+,percent_current_smoker,9.5692,2.32311,16.81529,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
2015-2021,Philadelphia,County,Male,Black (NH),18+,percent_current_smoker,23.37653,19.50451,27.24856,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
2015-2021,Philadelphia,County,Male,Hispanic,18+,percent_current_smoker,31.17152,22.54463,39.79842,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
2015-2021,Philadelphia,County,Male,White (NH),18+,percent_current_smoker,18.75779,15.63964,21.87593,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
2015-2021,Philadelphia,County,Female,All races/ethnicities,18+,percent_current_smoker,18.29377,16.43668,20.15086,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
2015-2021,Philadelphia,County,Male,All races/ethnicities,18+,percent_current_smoker,21.68645,19.38729,23.98561,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Smoking and Tobacco Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
2021,Philadelphia,County,All sexes,All races/ethnicities,All ages,age_distribution,1576251,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
2021,Philadelphia,County,All sexes,Asian/PI (NH),All ages,age_distribution,122791,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
2021,Philadelphia,County,All sexes,Black (NH),All ages,age_distribution,633815,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
2021,Philadelphia,County,All sexes,Hispanic,All ages,age_distribution,250485,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
2021,Philadelphia,County,All sexes,Multiracial (NH),All ages,age_distribution,34073,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
2021,Philadelphia,County,All sexes,White (NH),All ages,age_distribution,531722,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
2021,Philadelphia,County,All sexes,Black (NH),5-9,age_distribution,42668,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
2021,Philadelphia,County,All sexes,Black (NH),10-14,age_distribution,44319,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
2021,Philadelphia,County,All sexes,Black (NH),15-19,age_distribution,40865,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
2021,Philadelphia,County,All sexes,Black (NH),20-24,age_distribution,42634,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
2021,Philadelphia,County,All sexes,Black (NH),25-29,age_distribution,51934,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
2021,Philadelphia,County,All sexes,Black (NH),30-34,age_distribution,52787,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
2021,Philadelphia,County,All sexes,Black (NH),35-39,age_distribution,39935,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
2021,Philadelphia,County,All sexes,Black (NH),40-44,age_distribution,36907,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
2021,Philadelphia,County,All sexes,Black (NH),45-49,age_distribution,33646,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94
2021,Philadelphia,County,All sexes,Black (NH),50-54,age_distribution,38644,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
2021,Philadelphia,County,All sexes,Black (NH),55-59,age_distribution,40557,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
2021,Philadelphia,County,All sexes,Black (NH),60-64,age_distribution,39681,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
2021,Philadelphia,County,All sexes,Black (NH),65-69,age_distribution,31945,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
2021,Philadelphia,County,All sexes,Black (NH),70-74,age_distribution,24257,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
2021,Philadelphia,County,All sexes,Black (NH),75-79,age_distribution,15288,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
2021,Philadelphia,County,All sexes,Black (NH),80-84,age_distribution,10099,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
2021,Philadelphia,County,All sexes,Black (NH),85+,age_distribution,10345,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
2021,Philadelphia,County,All sexes,Hispanic,0-4,age_distribution,23733,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
2021,Philadelphia,County,All sexes,Hispanic,5-9,age_distribution,23997,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
2021,Philadelphia,County,All sexes,Hispanic,10-14,age_distribution,22111,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
2021,Philadelphia,County,All sexes,Hispanic,15-19,age_distribution,20001,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
2021,Philadelphia,County,All sexes,Hispanic,20-24,age_distribution,19497,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
2021,Philadelphia,County,All sexes,Hispanic,25-29,age_distribution,21758,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
2021,Philadelphia,County,All sexes,Hispanic,30-34,age_distribution,21407,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
2021,Philadelphia,County,All sexes,Hispanic,35-39,age_distribution,18190,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
2021,Philadelphia,County,All sexes,Hispanic,40-44,age_distribution,15944,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
2021,Philadelphia,County,All sexes,Hispanic,45-49,age_distribution,13387,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
2021,Philadelphia,County,All sexes,Hispanic,50-54,age_distribution,12703,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
2021,Philadelphia,County,All sexes,Hispanic,55-59,age_distribution,11213,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
2021,Philadelphia,County,All sexes,Hispanic,60-64,age_distribution,9105,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
2021,Philadelphia,County,All sexes,Hispanic,65-69,age_distribution,6597,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
2021,Philadelphia,County,All sexes,Hispanic,70-74,age_distribution,4616,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
2021,Philadelphia,County,All sexes,Hispanic,75-79,age_distribution,3065,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
2021,Philadelphia,County,All sexes,Hispanic,80-84,age_distribution,1764,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
2021,Philadelphia,County,All sexes,Hispanic,85+,age_distribution,1397,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
2021,Philadelphia,County,All sexes,Asian/PI (NH),25-29,age_distribution,12126,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
2021,Philadelphia,County,All sexes,Asian/PI (NH),30-34,age_distribution,13328,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
2021,Philadelphia,County,All sexes,Asian/PI (NH),35-39,age_distribution,10370,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
2021,Philadelphia,County,All sexes,Asian/PI (NH),40-44,age_distribution,7883,-99999,-99999,NA,Annual County Resident Population Estimates,Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
